store_app_id,review_id,title,body,star_rating,date,username,user_apple_id,user_reviews_url
348177453,1398053992,Great,Simple and works great!,5,2016-06-19,10angrypollos,453847558,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=453847558
348177453,1398006770,Too much,I wish you offered a simplified version for those like me who have our 401K through our jobs and just want to see the total amount  return rate for the year and JUST a breakdown of how much we and employer match contributed from our paycheck. Then a link to see investments one by one and other options like changing risk and loans. Thanks,4,2016-06-19,Sebas1978,11677914,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=11677914
348177453,1398739059,not customizeable,Why are the icons at the bottom not fully customizable?  I just want to remove the useless feed default page and replace it with the accounts page as default?    Also its way to gimmicky for a financial app - when showing the account balance  it counts up from 0 to your balance.  Are the games really needed  can't you allow that as an option if people want to see the numbers flipping?    The large font size can't be controlled which causes little information to be displayed on the screen and makes you scroll all the time to get to information.  Again  could you allow customization to choose what size font should be used?,1,2016-06-19,Mr Sunshine two,32771538,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=32771538
348177453,1396188931,Excellent improvements,Good features  improving over time,5,2016-06-18,Jack536,23840733,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=23840733
348177453,1396040199,Ease of use is amazing,Great functions  means and ability to trade on all levels that I used so far. Fast and very intuitive (for me at least) for review of accounts and trades when  on the road. Recommendable.,5,2016-06-18,Berlinoa,356911078,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=356911078
348177453,1396096907,Fully featured with constant innovation,It's a joy to use the fidelity app especially with the frequent updates and improvements. I can almost always get my work done from my phone  intuitively.,5,2016-06-18,jaracosan,7403334,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=7403334
348177453,1395161870,Great updated App,I really like the updated feature of seeing my portfolio gains and market performance on the home screen.  Being able to scroll down one page is very convenient.,5,2016-06-18,TerrRose,255040488,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=255040488
348177453,1395410834,Fantastic banking app!,Definitely 9/10,5,2016-06-18,HeyErin!,23655144,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=23655144
348177453,1395966873,Much better than the last version,????????,5,2016-06-17,Mikeyshons,335670631,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=335670631
348177453,1395491238,Thumbprint log in needed,Love everything  just wish it hand thumbprint log in like the netbenefits app!,4,2016-06-17,Lenhof,147584309,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=147584309
348177453,1395335207,Love it,Love this app... Not just fancy graphics but actual useful and productive features.  Good jo. Fidelity  as usual you rock.,5,2016-06-17,ForginGeico,341268418,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=341268418
348177453,1395809960,Much improved w/ recent upgrades,Excellent consolidation of research data,5,2016-06-17,jaskras,26261167,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=26261167
348177453,1396029231,The new update made it a lot better,The app works well  helps me to monitor all my accounts and not have to call anyone. It could be a little easier by maybe setting up a default account to go to  for example when I open my fidelity app I want it to take me directly to my individual accounts.,4,2016-06-17,OJacc,49258197,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=49258197
348177453,1396024246,Nice app,Latest update makes it slick and easy to use. Especially dig the ease of trading.,4,2016-06-17,Bugbegone,13334505,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=13334505
348177453,1396357689,I like the new version.,Functionality is terrific  layout is clean and it is easy to use. I took off a star because it is slow to start up when I open the app.,4,2016-06-17,Humble Sacrifice,141158452,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=141158452
